,poem_line,nazm_name,author_name
951,شیشے کے بدن میں رہتا ہوں,ہل ٹیڑھا ہے,عباس اطہر
952,میں آج ہوں میرے آگے پیچھے کل ہیں,ہل ٹیڑھا ہے,عباس اطہر
953,پھر بھی تن تنہا ہوں,ہل ٹیڑھا ہے,عباس اطہر
954,حاملہ مٹی کے اوپر سینے کے بل لیٹا ہوں,ہل ٹیڑھا ہے,عباس اطہر
955,سر اور پیر تصادم میں ہیں,ہل ٹیڑھا ہے,عباس اطہر
956,تاریکی کے پیچھے بھاگ رہا ہوں,ہل ٹیڑھا ہے,عباس اطہر
957,کچی موت کے بعد جوں ہی زندہ ہوتا ہوں,ہل ٹیڑھا ہے,عباس اطہر
958,میرے سرہانے نئی نویلی دلہن دھوپ دہک اٹھتی ہے,ہل ٹیڑھا ہے,عباس اطہر
959,سر اور پیر تصادم میں حق زوجیت ماتھے پر,ہل ٹیڑھا ہے,عباس اطہر
960,صبح سویرے کلمہ پڑھ کے نہانا,ہل ٹیڑھا ہے,عباس اطہر
961,فصل کے پک جانے تک کھیت کو پانی دیتے جانا,ہل ٹیڑھا ہے,عباس اطہر
962,میں نے یہی سنا ہے,ہل ٹیڑھا ہے,عباس اطہر
963,حاملہ مٹی کے اوپر سینے کے بل لیٹا ہوں,ہل ٹیڑھا ہے,عباس اطہر
964,بیل ہوں پتھریلی کھیتی میں,ہل ٹیڑھا ہے,عباس اطہر
965,ہانپ گیا ہوں ہل ٹیڑھا ہے,ہل ٹیڑھا ہے,عباس اطہر
966,خصی بیلوں کی سب جوڑیاں,ہل ٹیڑھا ہے,عباس اطہر
967,پتھریلے کھیتوں میں ہانپ چکی ہیں,ہل ٹیڑھا ہے,عباس اطہر
968,بیج بکھیرنے کے آسن بھی بدل چکے ہیں,ہل ٹیڑھا ہے,عباس اطہر
969,جانے پیدائش کا لمحہ کب آئے گا,ہل ٹیڑھا ہے,عباس اطہر
970,مجبوری کے پیچھے سرپٹ بھاگ رہا ہوں,ہل ٹیڑھا ہے,عباس اطہر
971,پھیکے موسموں اور وقتوں کی,ہل ٹیڑھا ہے,عباس اطہر
972,عمر بڑی ہے ہانپ گیا ہوں,ہل ٹیڑھا ہے,عباس اطہر
973,سویرے سویرے جگاتی ہیں امی,امی,عبدالباری عارف جمالی
974,مرے ہاتھ منہ پھر دھلاتی ہیں امی,امی,عبدالباری عارف جمالی
975,بڑے پیار سے گوندھتی ہیں وہ آٹا,امی,عبدالباری عارف جمالی
976,توے پر پراٹھے پکاتی ہیں امی,امی,عبدالباری عارف جمالی
977,کبھی کالی چائے کبھی گوری چائے,امی,عبدالباری عارف جمالی
978,بنا کر نوالے کھلاتی ہیں امی,امی,عبدالباری عارف جمالی
979,بڑے بھیا کو سادہ روٹی پروسیں,امی,عبدالباری عارف جمالی
980,ستا کر انہیں کھلکھلاتی ہیں امی,امی,عبدالباری عارف جمالی
981,اگر منہ پھلا کے میں روٹھوں کبھی تو,امی,عبدالباری عارف جمالی
982,بہ ہر طور مجھ کو مناتی ہیں امی,امی,عبدالباری عارف جمالی
983,مگر ابو جب لوٹ آتے ہیں گھر کو,امی,عبدالباری عارف جمالی
984,تو ہم کون ہیں بھول جاتی ہیں امی,امی,عبدالباری عارف جمالی
985,جھلک تو دیکھو ہمارے گھر کی یہاں ہیں نانی یہاں ہیں تائی,گھر کی جھلک,عبدالقادر
986,ہمارے ماں باپ اور چچا ہیں یہاں ہیں بہنیں یہاں ہیں بھائی,گھر کی جھلک,عبدالقادر
987,ہمارا گھر ہے حسین گلشن خوشی کی کلیاں کھلی ہوئی ہیں,گھر کی جھلک,عبدالقادر
988,وفا کی خوشبو بسی ہوئی ہے ہوئی نہ ہوگی یہاں لڑائی,گھر کی جھلک,عبدالقادر
989,ہمارے ابو کی دیکھو عظمت ہر ایک کرتا ہے ان کی عزت,گھر کی جھلک,عبدالقادر
990,نظر میں ان کی ہیں سب برابر انہیں سے ملتی ہے رہنمائی,گھر کی جھلک,عبدالقادر
991,کما رہے ہیں حلال روزی بنا دیا ہے ہمیں نمازی,گھر کی جھلک,عبدالقادر
992,انہیں سے گھر میں ہے خیروبرکت کسی کی کرتے نہیں برائی,گھر کی جھلک,عبدالقادر
993,ہماری امی ہیں نیک سیرت ہمیں ملی ہے انہیں سے راحت,گھر کی جھلک,عبدالقادر
994,سدا کچن میں ہے کام ان کا پکا رہی ہیں چکن فرائی,گھر کی جھلک,عبدالقادر
995,لبوں پہ ان کے سدا تبسم زبان ان کی ہے خوب شیریں,گھر کی جھلک,عبدالقادر
996,نہیں ہے کاموں سے ان کو فرصت کبھی صفائی کبھی سلائی,گھر کی جھلک,عبدالقادر
997,ہمیں ہے ان سے دلی محبت انہیں کے قدموں تلے ہے جنت,گھر کی جھلک,عبدالقادر
998,بڑی محبت سے پرورش کی ہے ان کی فطرت میں پارسائی,گھر کی جھلک,عبدالقادر
999,عجیب شے ہیں چچا ہمارے نہیں کسی کی سمجھ میں آئے,گھر کی جھلک,عبدالقادر
1000,لیے ہیں پیالے میں مرغ چھولے اسی میں ڈالی ہے رس ملائی,گھر کی جھلک,عبدالقادر
1001,جو موڈ ہو تو سنائیں نامہ ٹھمک ٹھمک کر بجائیں طبلہ,گھر کی جھلک,عبدالقادر
1002,گئے وہ اک روز چھت کے اوپر وہاں چچا نے پتنگ اڑائی,گھر کی جھلک,عبدالقادر
1003,مدد وہ امی کی کر رہے ہیں توے پہ چمچہ چلا رہے ہیں,گھر کی جھلک,عبدالقادر
1004,سویرے اٹھ کر چچا ہمارے گلی کی کرتے ہیں خود صفائی,گھر کی جھلک,عبدالقادر
1005,وہ سیر کرنے گئے ہیں باہر پہن کے بنیان اور لنگوٹی,گھر کی جھلک,عبدالقادر
1006,بڑی سی پگڑی ہے سر کے اوپر لٹک رہی ہے گلے سے ٹائی,گھر کی جھلک,عبدالقادر
1007,بڑی ہیں سب سے ہماری نانی سناتی ہیں وہ ہمیں کہانی,گھر کی جھلک,عبدالقادر
1008,زباں پہ ذکر خدا ہے جاری ٹھکانا ان کا ہے چارپائی,گھر کی جھلک,عبدالقادر
1009,ڈکارتی ہیں ہماری تائی ہمیشہ پیتی ہیں وہ دوائی,گھر کی جھلک,عبدالقادر
1010,بڑا سا تکیہ ہے سر کے نیچے بدن کے اوپر ہے اک رضائی,گھر کی جھلک,عبدالقادر
1011,بڑی بہن کا ہے نام رضیہ وہ ناولوں کی بہت ہے رسیا,گھر کی جھلک,عبدالقادر
1012,کشیدہ کاری میں ہے مہارت مزے سے کھاتی ہے وہ مٹھائی,گھر کی جھلک,عبدالقادر
1013,بہن ثریا نے لایا گڈا بہن رقیہ نے لائی گڑیا,گھر کی جھلک,عبدالقادر
1014,سہیلیوں کو بلا کے شادی خوشی سے دالان میں رچائی,گھر کی جھلک,عبدالقادر
1015,ہمارا انور ہے دس برس کا مصوری سے اسے ہے رغبت,گھر کی جھلک,عبدالقادر
1016,بنا کے تصویر جب دکھائی تو بھائی بہنوں سے داد پائی,گھر کی جھلک,عبدالقادر
1017,ہے سب سے چھوٹا میاں منور مگر ہے تعلیم سے محبت,گھر کی جھلک,عبدالقادر
1018,دوات لے کر وہ لکھ رہا تھا گرا دی کپڑوں پہ روشنائی,گھر کی جھلک,عبدالقادر
1019,ذرا سا اپنا بھی حال کہہ دوں میں ایک کالج میں پڑھ رہا ہوں,گھر کی جھلک,عبدالقادر
1020,کتاب سے میری دوستی ہے کبھی نہ چھوڑوں گا میں پڑھائی,گھر کی جھلک,عبدالقادر
1021,کل رات نہ جانے کیوں کیسے,دھوپ میں بارش,عبدالقادر
1022,ایک عجیب سی خواہش ہونے لگی,دھوپ میں بارش,عبدالقادر
1023,وہ شہر جو ہم سے چھوٹا ہے,دھوپ میں بارش,عبدالقادر
1024,اسی شہر کی خواہش ہونے لگی,دھوپ میں بارش,عبدالقادر
1025,وہ شہر جو ہم سے چھوٹا ہے,دھوپ میں بارش,عبدالقادر
1026,اب اس کا نظارہ کیسا ہے,دھوپ میں بارش,عبدالقادر
1027,کس سے پوچھوں کیسے پوچھوں,دھوپ میں بارش,عبدالقادر
1028,ہر جان سے پیارا کیسا ہے,دھوپ میں بارش,عبدالقادر
1029,کیا اب بھی ہمارے ہمجولی,دھوپ میں بارش,عبدالقادر
1030,بے کار پڑے ہیں گاؤں میں,دھوپ میں بارش,عبدالقادر
1031,کیا اب بھی بیڑیاں لٹکی ہیں,دھوپ میں بارش,عبدالقادر
1032,ان دوڑنے والے پاؤں میں,دھوپ میں بارش,عبدالقادر
1033,کیا اب بھی پپیہا گاتا ہے,دھوپ میں بارش,عبدالقادر
1034,اس بوڑھے نیم کی گولی پر,دھوپ میں بارش,عبدالقادر
1035,کیا اب بھی موسم سرما میں,دھوپ میں بارش,عبدالقادر
1036,پھولوں کی نمائش ہوتی ہے,دھوپ میں بارش,عبدالقادر
1037,کیا اب بھی پتنگیں اڑتی ہیں,دھوپ میں بارش,عبدالقادر
1038,پاون چھٹ کے تہواروں میں,دھوپ میں بارش,عبدالقادر
1039,کیا اب بھی لوگ نہاتے ہیں,دھوپ میں بارش,عبدالقادر
1040,ساون کی پیاری پھواروں میں,دھوپ میں بارش,عبدالقادر
1041,کیا اب بھی لوگ نکلتے ہیں,دھوپ میں بارش,عبدالقادر
1042,ویسے ہی عید کے موقع پر,دھوپ میں بارش,عبدالقادر
1043,کیا اب بھی اپنے محلے میں,دھوپ میں بارش,عبدالقادر
1044,مہمان نوازی ہوتی ہے,دھوپ میں بارش,عبدالقادر
1045,کیا دن تھے وہ جو بیت گئے,دھوپ میں بارش,عبدالقادر
1046,کیا میرے سارے میت گئے,دھوپ میں بارش,عبدالقادر
1047,اے کاش کوئی لڑتا ہم سے,دھوپ میں بارش,عبدالقادر
1048,تم ہار گئے ہم جیت گئے,دھوپ میں بارش,عبدالقادر
1049,وہ اپنا بچپن کدھر گیا,دھوپ میں بارش,عبدالقادر
1050,وہ اپنی جوانی کہاں گئی,دھوپ میں بارش,عبدالقادر
1051,وہ شام جو پھر آئی ہی نہیں,دھوپ میں بارش,عبدالقادر
1052,وہ صبح سہانی کہاں گئی,دھوپ میں بارش,عبدالقادر
1053,کل رات گئی سب بات گئی,دھوپ میں بارش,عبدالقادر
1054,یعنی ساری سوغات گئی,دھوپ میں بارش,عبدالقادر
1055,بن موسم کے جو آئی تھی,دھوپ میں بارش,عبدالقادر
1056,مجھے رلا کے وہ برسات گئی,دھوپ میں بارش,عبدالقادر
1057,جب میں اس سے پوچھا تھا,دھوپ میں بارش,عبدالقادر
1058,اب شہر ہمارا کیسا ہے,دھوپ میں بارش,عبدالقادر
1059,کیا دھوپ میں بارش ہوتی ہے,دھوپ میں بارش,عبدالقادر
1060,کیاری خواہش ہوتی ہے,دھوپ میں بارش,عبدالقادر
1061,وہ ہنستے ہنستے رونے لگی,دھوپ میں بارش,عبدالقادر
1062,اور دھوپ میں بارش ہونے لگی,دھوپ میں بارش,عبدالقادر
1063,یہ قصہ ہے افیمی کا جو اک گاؤں میں رہتا تھا,افیمی کا قصہ,عبدالقادر عارف
1064,نشہ کرنے کی عادت تھی بہت ہی بھولا بھالا تھا,افیمی کا قصہ,عبدالقادر عارف
1065,لڑکپن گاؤں میں گزرا جوانی بھی وہیں گزری,افیمی کا قصہ,عبدالقادر عارف
1066,سیاحت کی تمنا تھی تو اس نے کر لی تیاری,افیمی کا قصہ,عبدالقادر عارف
1067,سویرے ایک دن گھر سے روانہ ہو گیا پیدل,افیمی کا قصہ,عبدالقادر عارف
1068,تھا کچا راستہ اور ہر طرف پھیلا ہوا جنگل,افیمی کا قصہ,عبدالقادر عارف
1069,سفر مغرب کی جانب تھا وہ چلتا ہی رہا سیدھا,افیمی کا قصہ,عبدالقادر عارف
1070,ہوئی جب دوپہر تو ایک برگد کا شجر دیکھا,افیمی کا قصہ,عبدالقادر عارف
1071,اسی برگد کے سائے میں افیمی سو گیا تھک کر,افیمی کا قصہ,عبدالقادر عارف
1072,مزے سے نیند لی ٹھنڈی ہوا میں اس نے گھنٹہ بھر,افیمی کا قصہ,عبدالقادر عارف
1073,ہوا بیدار تو مشرق کی جانب راہ لی اپنی,افیمی کا قصہ,عبدالقادر عارف
1074,خبر اس کو نہیں تھی سمت اس کی ہو گئی الٹی,افیمی کا قصہ,عبدالقادر عارف
1075,وہ چلتا ہی رہا اپنی ترنگ میں اور کوشش تھی,افیمی کا قصہ,عبدالقادر عارف
1076,پہنچ جاؤں کسی بستی میں رات آنے سے پہلے ہی,افیمی کا قصہ,عبدالقادر عارف
1077,غروب ہونے لگا سورج تو اپنے گاؤں میں پہنچا,افیمی کا قصہ,عبدالقادر عارف
1078,مگر سمجھا افیمی نے میں اگلے گاؤں میں پہنچا,افیمی کا قصہ,عبدالقادر عارف
1079,جب اس نے گاؤں کو دیکھا بہت یکسانیت پائی,افیمی کا قصہ,عبدالقادر عارف
1080,کہا یہ گاؤں لگتا ہے مرے دیہات کا بھائی,افیمی کا قصہ,عبدالقادر عارف
1081,دکانیں اور گلی کوچے مجھے ویسے ہی لگتے ہیں,افیمی کا قصہ,عبدالقادر عارف
1082,وہی شکل و شباہت کے یہاں انسان بستے ہیں,افیمی کا قصہ,عبدالقادر عارف
1083,میں جس بستی میں رہتا ہوں اسی کا سارا نقشہ ہے,افیمی کا قصہ,عبدالقادر عارف
1084,مجھے پورا یقیں ہے یہ مرے گاؤں کا چربہ ہے,افیمی کا قصہ,عبدالقادر عارف
1085,ہے میرا گھر بھی ایسا ہی جو میرے سامنے گھر ہے,افیمی کا قصہ,عبدالقادر عارف
1086,یہ گاؤں تو مرے دیہات کا جڑواں برادر ہے,افیمی کا قصہ,عبدالقادر عارف
1087,قدم گھر میں رکھا تو ایک محترمہ نظر آئی,افیمی کا قصہ,عبدالقادر عارف
1088,افیمی سمجھا وہ صورت مری بیگم کی جیسی ہے,افیمی کا قصہ,عبدالقادر عارف
1089,جو عورت اس مکاں میں ہے مری بیگم کی کاپی ہے,افیمی کا قصہ,عبدالقادر عارف
1090,ہوئی جب بات عورت سے تو یہ عقدہ کھلا اس پر,افیمی کا قصہ,عبدالقادر عارف
1091,یہی ہے میرا گاؤں میری بیگم اور میرا گھر,افیمی کا قصہ,عبدالقادر عارف
1092,تعجب تھا افیمی کو سفر میں پورا دن گزرا,افیمی کا قصہ,عبدالقادر عارف
1093,میں چلتا ہی رہا سیدھا تو کیسے اس جگہ پہنچا,افیمی کا قصہ,عبدالقادر عارف
1094,افیمی نے جب اپنی عقل کے گھوڑے کو دوڑایا,افیمی کا قصہ,عبدالقادر عارف
1095,سمجھ دانی سے فوراً حل معمے کا نکل آیا,افیمی کا قصہ,عبدالقادر عارف
1096,زمیں کا پورا چکر میں نے اک دن میں لگایا ہے,افیمی کا قصہ,عبدالقادر عارف
1097,عظیم الشان کرتب ما بدولت نے دکھایا ہے,افیمی کا قصہ,عبدالقادر عارف
1098,زمیں ہے گول اس دعوے کو ثابت کر دیا میں نے,افیمی کا قصہ,عبدالقادر عارف
1099,ثبوت اپنے سفر سے آج حاصل کر لیا میں نے,افیمی کا قصہ,عبدالقادر عارف
1100,آتا ہے یاد مجھ کو بچپن کا وہ زمانہ,بچپن کا وہ زمانہ,عبدالقادر
1101,رہتا تھا ساتھ میرے خوشیوں کا جب خزانہ,بچپن کا وہ زمانہ,عبدالقادر
1102,ہر روز گھر میں ملتے عمدہ لذیذ کھانے,بچپن کا وہ زمانہ,عبدالقادر
1103,بے محنت و مشقت حاصل تھا آب و دانہ,بچپن کا وہ زمانہ,عبدالقادر
1104,بچوں کے ساتھ رہنا خوشیوں کے گیت گانا,بچپن کا وہ زمانہ,عبدالقادر
1105,دل میں نہ تھی کدورت تھا سب سے دوستانہ,بچپن کا وہ زمانہ,عبدالقادر
1106,مہندی کے پتے لانا اور پیس کر لگانا,بچپن کا وہ زمانہ,عبدالقادر
1107,پھر سرخ ہاتھ اپنے ہر ایک کو دکھانا,بچپن کا وہ زمانہ,عبدالقادر
1108,آواز ڈگڈگی کی جوں ہی سنائی دیتی,بچپن کا وہ زمانہ,عبدالقادر
1109,اس کی طرف لپکنا بچوں کا والہانہ,بچپن کا وہ زمانہ,عبدالقادر
1110,ہر سال پیارے ابو لاتے تھے ایک بکرا,بچپن کا وہ زمانہ,عبدالقادر
1111,چارہ اسے کھلانا میدان میں گھمانا,بچپن کا وہ زمانہ,عبدالقادر
1112,وہ دور جا چکا ہے آتا نہیں پلٹ کر,بچپن کا وہ زمانہ,عبدالقادر
1113,بچپن کا وہ زمانہ لگتا ہے اک فسانہ,بچپن کا وہ زمانہ,عبدالقادر
1114,دادی کو میں نے اک دن یہ مشورہ دیا تھا,بچپن کا وہ زمانہ,عبدالقادر
1115,چہرے کی جھریوں کو آسان ہے مٹانا,بچپن کا وہ زمانہ,عبدالقادر
1116,چہرے پہ آپ کے ہیں جو بے شمار شکنیں,بچپن کا وہ زمانہ,عبدالقادر
1117,آیا مری سمجھ میں ان سے نجات پانا,بچپن کا وہ زمانہ,عبدالقادر
1118,کپڑے کی ساری شکنیں مٹتی ہیں استری سے,بچپن کا وہ زمانہ,عبدالقادر
1119,آسان سا عمل ہے یہ استری چلانا,بچپن کا وہ زمانہ,عبدالقادر
1120,اک گرم استری کو چہرے پہ آپ پھیریں,بچپن کا وہ زمانہ,عبدالقادر
1121,عمدہ ہے میرا نسخہ ہے شرط آزمانا,بچپن کا وہ زمانہ,عبدالقادر
1122,اک روز والدہ سے جا کر کہا کچن میں,بچپن کا وہ زمانہ,عبدالقادر
1123,اب چھوڑیئے گا امی یہ روٹیاں پکانا,بچپن کا وہ زمانہ,عبدالقادر
1124,اک پیڑ روٹیوں کا دالان میں لگائیں,بچپن کا وہ زمانہ,عبدالقادر
1125,اس پیڑ کو کہیں گے روٹی کا کارخانہ,بچپن کا وہ زمانہ,عبدالقادر
1126,شاخوں سے تازہ تازہ پھر روٹیاں ملیں گی,بچپن کا وہ زمانہ,عبدالقادر
1127,توڑیں گے روٹیاں ہم کھائیں گے گھر میں کھانا,بچپن کا وہ زمانہ,عبدالقادر
1128,کیسی عجیب باتیں آتی تھیں میرے لب پر,بچپن کا وہ زمانہ,عبدالقادر
1129,آج ان کو کہہ رہا ہوں باتیں ہیں احمقانہ,بچپن کا وہ زمانہ,عبدالقادر
1130,وہ پیاری پیاری باتیں اب یاد آ رہی ہیں,بچپن کا وہ زمانہ,عبدالقادر
1131,بچپن کا وہ زمانہ کیا خواب تھا سہانا,بچپن کا وہ زمانہ,عبدالقادر
1132,جب آگ جلی ناف کے نیچے تو زمیں پھیل گئی,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1133,آگ جلی اور بدن پھیل گئے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1134,آنکھوں کی آوارگی بے رنگ ہوئی,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1135,دھوپ ہوا چاندنی,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1136,سب بستیوں میں خاک اڑی,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1137,قافلے ہی قافلے تھے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1138,قافلے جو درد کے وطنوں سے چلے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1139,چلتے گئے اجنبی خوشبو کی طرف,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1140,اس کی طرف جس کے لیے ساری کتابوں میں لکھا ہے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1141,وہ کبھی ہاتھ نہیں آتی کبوتروں سے چٹاتی ہے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1142,مگر رات کے دروازے پہ پہنچے تو ستارے نہ ملے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1143,لوگ ابھی صبح کی امید میں شب کاٹتے ہیں,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1144,لوگ دکھی لوگ اکیلے ہیں,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1145,انہیں راستہ دو سینے سے چمٹا لو,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1146,ہر اک راستے میں جلتی ہوئی آگ بجھا دو کہ بدن,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1147,پھیلتے جاتے ہیں زمیں تنگ ہوئی جاتی ہے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1148,جو آگ بجھانے کے لئے آئے تھے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1149,سب خاک ہوئے لوٹ نہیں پائے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1150,ہوا ان کے لئے دستکیں دیتی ہے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1151,زمیں ان کے لیے پھول کھلاتی ہے,زمین ان کے لئے پھول کھلاتی ہے,عباس اطہر
1152,یہاں ہارن بجانے کی اجازت نہیں,چپ چاپ گزر جاؤ,عباس اطہر
1153,اور میں نے تمنا کا بھرم کھول دیا ہے کہ سمندر کی ہوا,چپ چاپ گزر جاؤ,عباس اطہر
1154,سینے سے ٹکرائے تو پردہ نہ رہے,چپ چاپ گزر جاؤ,عباس اطہر
1155,اس کی مہک سر پہ کفن باندھ کے نکلی ہے,چپ چاپ گزر جاؤ,عباس اطہر
1156,ہر اک راستے ہر موڑ پہ آواز لگاتی ہے,چپ چاپ گزر جاؤ,عباس اطہر
1157,مگر کوئی نہیں رکتا بسنت آئی ہے,چپ چاپ گزر جاؤ,عباس اطہر
1158,سب بھاگ رہے ہیں کوئی آواز نہیں دیتا,چپ چاپ گزر جاؤ,عباس اطہر
1159,کوئی مڑ کے نہیں دیکھتا,چپ چاپ گزر جاؤ,عباس اطہر
1160,پٹرول لہو اور ہوا دست و گریباں ہیں,چپ چاپ گزر جاؤ,عباس اطہر
1161,جدھر دیکھو پتنگیں ہی پتنگیں ہیں,چپ چاپ گزر جاؤ,عباس اطہر
1162,زمینوں پہ اترنے کے لئے ڈولتی پر تولتی,چپ چاپ گزر جاؤ,عباس اطہر
1163,بل کھاتی ہوئی,چپ چاپ گزر جاؤ,عباس اطہر
1164,صبح کو کٹتی ہیں مگر شام کو سڑکوں پہ اترتی ہیں,چپ چاپ گزر جاؤ,عباس اطہر
1165,تو وہ کون ہے جو,چپ چاپ گزر جاؤ,عباس اطہر
1166,آنکھوں کے سائے سے گریزاں ہیں,چپ چاپ گزر جاؤ,عباس اطہر
1167,مگر صبح ہی صبح چپکے سے سو سیڑھیاں,چپ چاپ گزر جاؤ,عباس اطہر
1168,چڑھ جاتا ہے تھکتا ہی نہیں,چپ چاپ گزر جاؤ,عباس اطہر
1169,اور نئی آگ دہکتی ہے,چپ چاپ گزر جاؤ,عباس اطہر
1170,نئے رنگے ہوئے کاغذوں سے حشر چمک اٹھتا ہے,چپ چاپ گزر جاؤ,عباس اطہر
1171,سب عورتیں اور مرد جواں لڑکیاں اور لڑکے,چپ چاپ گزر جاؤ,عباس اطہر
1172,نئی ٹیکسیاں اور موٹریں اور رکشے,چپ چاپ گزر جاؤ,عباس اطہر
1173,انہیں لوٹنے نکلے ہیں بسنت آئی ہے,چپ چاپ گزر جاؤ,عباس اطہر
1174,آ جاؤ یہاں لوٹ مچی ہے آؤ,چپ چاپ گزر جاؤ,عباس اطہر
1175,در و دیوار کو حسرت کی نظر دیکھنا مت بھولنا,چپ چاپ گزر جاؤ,عباس اطہر
1176,اک دوسرے کو روندتے,چپ چاپ گزر جاؤ,عباس اطہر
1177,اک دوسرے کو خون میں بھیگے ہوئے,چپ چاپ گزر جاؤ,عباس اطہر
1178,سر پیٹتے اور چیختے چلاتے سبھی بھاگ رہے ہیں,چپ چاپ گزر جاؤ,عباس اطہر
1179,کوئی آواز نہیں دیتا,چپ چاپ گزر جاؤ,عباس اطہر
1180,یہاں ماؤں اور بہنوں سے اور بیویوں سے,چپ چاپ گزر جاؤ,عباس اطہر
1181,آخری بوسوں کی اجازت ہے,چپ چاپ گزر جاؤ,عباس اطہر
1182,مگر ہارن بجانے کی اجازت نہیں,چپ چاپ گزر جاؤ,عباس اطہر
1183,مجھے رستہ نہیں ملتا,مجھے رستہ نہیں ملتا,عباس تابش
1184,میں جوہڑ میں کھلے پھولوں کے حق میں بول کر,مجھے رستہ نہیں ملتا,عباس تابش
1185,دلدل کی تہہ میں دھنس گیا ہوں,مجھے رستہ نہیں ملتا,عباس تابش
1186,میں نہیں کہتا کہ یہ کس آسماں کا کون سا سیارۂ بد ہے,مجھے رستہ نہیں ملتا,عباس تابش
1187,مگر یہ تہہ زمیں کی آخری چھت ہے,مجھے رستہ نہیں ملتا,عباس تابش
1188,یہاں دن ہی نکلتا ہے نہ شام عمر ڈھلتی ہے,مجھے رستہ نہیں ملتا,عباس تابش
1189,پرندہ بھی نہیں کوئی کہ جس کے پاؤں سے کوئی,مجھے رستہ نہیں ملتا,عباس تابش
1190,نوشتہ باندھ کر بھیجوں تو سمجھوں اس سے ملنے کا,مجھے رستہ نہیں ملتا,عباس تابش
1191,بہانہ ہاتھ آیا ہے,مجھے رستہ نہیں ملتا,عباس تابش
1192,ستارہ بھی نہیں کوئی کہ جس سے گفتگو ٹھہرے,مجھے رستہ نہیں ملتا,عباس تابش
1193,نواح جسم میں پھیلی خضر آثار تنہائی مری سانسیں بڑھاتی ہے,مجھے رستہ نہیں ملتا,عباس تابش
1194,مجھے اس دلدلی گوشے سے جانے کا کوئی رستہ نہیں ملتا,مجھے رستہ نہیں ملتا,عباس تابش
1195,سن اے میری خضر آثار تنہائی,مجھے رستہ نہیں ملتا,عباس تابش
1196,مری خاطر بھی تھوڑا سا تردد کر,مجھے رستہ نہیں ملتا,عباس تابش
1197,مجھے بھی تو سکندرؔ کے جنازے میں پہنچنا ہے,مجھے رستہ نہیں ملتا,عباس تابش
1198,مجھے بھی آب حیواں سے چھلکتی موت کا نوحہ سنانا ہے,مجھے رستہ نہیں ملتا,عباس تابش
1199,مجھے بھی دور جانا ہے,مجھے رستہ نہیں ملتا,عباس تابش
1200,سن اے میری خضر آثار تنہائی,مجھے رستہ نہیں ملتا,عباس تابش
1201,مجھے اس تخم امکاں کے دریچے سے نکلنے دے,مجھے رستہ نہیں ملتا,عباس تابش
1202,نمو کی چال چلنے دے,مجھے رستہ نہیں ملتا,عباس تابش
1203,مجھے رستہ نہیں ملتا,مجھے رستہ نہیں ملتا,عباس تابش
1204,''نئی سڑکوں کے نقشے'' کارخانے,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1205,اونچے اونچے پل مرے منصوبے دیکھو اور کتابوں میں پڑھو'',اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1206,اس نے کہا۔۔۔ ''میرے بدن پر ہاتھ بھی پھیرو,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1207,مگر سوراخ سے انگلی الگ رکھو'',اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1208,مگر اس کے بدن پر ہر طرف سوراخ ہی سوراخ ہیں,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1209,انگلی الگ رکھو!,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1210,تو کیا میں انگلیوں کو توڑ دوں؟,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1211,میں انگلیوں کو توڑ دوں؟,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1212,پھر کون تیرے حسن کی تفسیر لکھے گا؟ بتا!,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1213,پھر یہ تسلسل رات دن کا,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
1214,چاند سورج کا اکیلے موسموں کا,اپنے اپنے سوراخوں کا ڈر,عباس اطہر
